dogodek,kvota,drzava,sportnik
"Championship League

        - World",1.75,SCO,Stephen Maguire
"Super Welterweight title fight

        - World",1.22,ENG,Ahmet Patterson
"Heavyweight

        - World",1.01,NZL,Joseph Parker
"Heavyweight

        - World",1.62,USA,Dominic Breazeale
"Middleweight

        - World",1.44,ENG,John Ryder
"Light Heavyweight

        - World",1.05,RUS,Sergey Kovalev
"Super-Middleweight

        - World",1.44,RUS,Fedor Chudinov
"Super-bantamweight

        - World",1.65,NIR,Carl Frampton
"Super Lightweight

        - World",1.04,USA,Terence Crawford
"Welterweight

        - World",1.72,ENG,Sam Eggington
"Super-featherweight

        - World",1.53,PUR,Jose Pedraza
"Welterweight

        - World",1.36,PHI,Manny Pacquiao
"Swimming - Men

        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men

        - Olympics",1.55,CHN,Yang Sun
"Milano - San Remo

        - World",5.50,SVK,Peter Sagan
"Paris-Roubaix

        - World",4.50,GER,John Degenkolb
"Tour de France

        - World",3.25,GER,Marcel Kittel
"Road - Men

        - Olympics",3.75,ITA,Vincenzo Nibali
"10km Pursuit - Women

        - World",3.25,ITA,Dorothea Wierer
"Meistriliiga

        - Estonia",1.30,RUS,BC Khimki Moscow
"Tauron Basket Liga

        - Poland",6.75,RUS,Krasny Oktyabr Volgograd
"PDC - The Masters

        - World",2.65,SCO,Robert Thornton
"ITF Women - Guaruja (BRA) - Hard

        - World",2.10,ARG,Nadia Podoroska
"ITF Women - Wesley Chapel (USA) - Clay

        - World",1.72,USA,Shelby Rogers
"ITF Men - Sunrise (USA) - Clay Court

        - World",1.60,POL,Maciej Rajski
"ITF Women - Wesley Chapel (USA) - Doubles - Clay

        - World",2.50,GER,Peter Torebko
"ATP Challenger Rio de Janeiro (BRA) - Doubles - Clay

        - World",5.00,CZE,Barbora Strycova
"World Championships

        - World",2.10,ESP/Honda,Marc Marquez
"World Championship

        - World",3.00,GBR,Tai Woffinden
"Slalom - Men

        - World",1.90,NOR,Henrik Kristoffersen
