dogodek,kvota,drzava,sportnik
"Championship League
        - World",1.75,SCO,Stephen Maguire
"European Tour - Abu Dhabi Championship
        - World",5.00,USA,Jordan Spieth
"US Masters
        - World",5.00,USA,Jordan Spieth
"European Tour - The Open Championship
        - World",6.50,USA,Jordan Spieth
"Ryder Cup
        - World",2.50,USA,Jordan Spieth
"Super Welterweight title fight
        - World",1.22,ENG,Ahmet Patterson
"Heavyweight
        - World",1.01,NZL,Joseph Parker
"Heavyweight
        - World",1.62,USA,Dominic Breazeale
"Middleweight
        - World",1.44,ENG,John Ryder
"Light Heavyweight
        - World",1.05,RUS,Sergey Kovalev
"Super-Middleweight
        - World",1.44,RUS,Fedor Chudinov
"Super-bantamweight
        - World",1.65,NIR,Carl Frampton
"Heavyweight
        - World",1.22,UZB,Ruslan Chagaev
"Super-featherweight
        - World",1.53,PUR,Jose Pedraza
"Swimming - Men
        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men
        - Olympics",1.55,CHN,Yang Sun
"Milano - San Remo
        - World",5.50,SVK,Peter Sagan
"Paris-Roubaix
        - World",4.50,GER,John Degenkolb
"Tour de France
        - World",3.25,GER,Marcel Kittel
"Road - Men
        - Olympics",3.75,ITA,Vincenzo Nibali
"7.5km Sprint - Women
        - World",4.50,FRA,Marie Dorin Habert
