dogodek,kvota,drzava,sportnik
"Championship League
        - World",1.75,SCO,Stephen Maguire
"European Tour - Abu Dhabi Championship
        - World",2.90,NIR,Rory McIlroy
"Super Welterweight title fight
        - World",1.22,ENG,Ahmet Patterson
"Heavyweight
        - World",1.01,NZL,Joseph Parker
"Heavyweight
        - World",1.62,USA,Dominic Breazeale
"Middleweight
        - World",1.44,ENG,John Ryder
"Light Heavyweight
        - World",1.05,RUS,Sergey Kovalev
"Super-Middleweight
        - World",1.44,RUS,Fedor Chudinov
"Super-bantamweight
        - World",1.65,NIR,Carl Frampton
"Super Lightweight
        - World",1.04,USA,Terence Crawford
"Welterweight
        - World",1.72,ENG,Sam Eggington
"Super-featherweight
        - World",1.53,PUR,Jose Pedraza
"Welterweight
        - World",1.36,PHI,Manny Pacquiao
"Swimming - Men
        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men
        - Olympics",1.55,CHN,Yang Sun
"Milano - San Remo
        - World",5.50,SVK,Peter Sagan
"Paris-Roubaix
        - World",4.50,GER,John Degenkolb
"Tour de France
        - World",3.25,GER,Marcel Kittel
"Road - Men
        - Olympics",3.75,ITA,Vincenzo Nibali
"10km Sprint - Men
        - World",3.00,FRA,Martin Fourcade
"Korisliiga
        - Finland",1.48,RUS,Lokomotiv-Kuban Krasnodar
"FIBA Europe Cup
        - Europe",7.25,POL,Slask Wroclaw
"Coupe de France
        - France",1.30,RUS,BC Khimki Moscow
"PDC - The Masters
        - World",2.65,SCO,Robert Thornton
"ATP Challenger Rio de Janeiro (BRA) - Clay
        - World",3.40,SWE,Christian Lindell
"ITF Women - Wesley Chapel (USA) - Clay
        - World",1.42,USA,Shelby Rogers
"ITF Women - Wesley Chapel (USA) - Doubles - Clay
        - World",1.53,AUT,Dominic Thiem
"Australian Open - Women
        - World",1.22,SUI,Belinda Bencic
"Australian Open, Mixed Doubles
        - World",1.33,JPN,Go Soeda
"World Championships
        - World",2.10,ESP/Honda,Marc Marquez
"World Championship
        - World",3.00,GBR,Tai Woffinden
"Downhill - Women
        - World",1.30,USA,Lindsey Vonn
"Long term bets - Men
        - World",1.50,AUT,Marcel Hirscher
