sportnik,drzava,kvota
Stephen Maguire,SCO,1.75
Marco Fu,HKG,1.95
Michael White,WAL,1.95
Ricky Walden,ENG,1.75
Joe Perry,ENG,1.95
Mark Williams,WAL,1.75
Mark Selby,ENG,1.65
Stephen Maguire,SCO,2.10
Marco Fu,HKG,1.70
Michael White,WAL,2.05
Ricky Walden,ENG,1.85
Joe Perry,ENG,1.85
Mark Selby,ENG,1.62
Mark Williams,WAL,2.15
Stephen Maguire,SCO,1.70
Michael White,WAL,2.05
Marco Fu,HKG,1.80
Ricky Walden,ENG,1.90
Joe Perry,ENG,2.25
Mark Selby,ENG,1.57
Mark Williams,WAL,1.75
Ricky Walden,ENG,1.95
Michael White,WAL,2.35
Mark Selby,ENG,1.52
Marco Fu,HKG,1.80
Joe Perry,ENG,1.90
Stephen Maguire,SCO,1.80
Mark Williams,WAL,1.90
Michael White,WAL,2.15
Mark Williams,WAL,1.62
Ricky Walden,ENG,2.30
Mark Selby,ENG,1.55
Marco Fu,HKG,2.20
Mark Selby,ENG,1.60
Stephen Maguire,SCO,1.75
Joe Perry,ENG,1.95
Michael White,WAL,1.95
Joe Perry,ENG,1.75
Marco Fu,HKG,1.88
Mark Williams,WAL,1.82
Stephen Maguire,SCO,1.75
Ricky Walden,ENG,1.95
Rory McIlroy,NIR,2.90
Jordan Spieth,USA,6.00
Henrik Stenson,SWE,7.00
Branden Grace,RSA,8.00
Bryson DeChambeau,USA,21.00
Martin Kaymer,GER,23.00
Andy Sullivan,ENG,23.00
Matthew Fitzpatrick,ENG,26.00
Rickie Fowler,USA,34.00
Byeong-Hun An,CHN,34.00
Thomas Pieters,BEL,41.00
Russell Knox,SCO,51.00
Victor Dubuisson,FRA,51.00
David Howell,ENG,67.00
Ian Poulter,ENG,81.00
Richard Bland,ENG,81.00
George Coetzee,RSA,81.00
Kiradech Aphibarnrat,THA,81.00
Joost Luiten,NED,101.00
Ross Fisher,ENG,101.00
Peter Hanson,SWE,101.00
Soren Kjeldsen,DEN,101.00
Thorbjorn Olesen,DEN,101.00
Thongchai Jaidee,THA,126.00
Bernd Wiesberger,AUT,126.00
Thomas Bjorn,DEN,126.00
Rafael Cabrera-Bello,ESP,151.00
Trevor Fisher Jr.,RSA,151.00
Mikko Korhonen,FIN,151.00
Eddie Pepperell,ENG,176.00
Pablo Larrazabal,ESP,201.00
Alexender Levy,FRA,201.00
Benjamin Hebert,FRA,201.00
Robert Rock,ENG,201.00
Fabrizio Zanotti,PAR,201.00
Patrick Reed,USA,10.00
Matt Kuchar,USA,17.00
Zach Johnson,USA,19.00
Bill Haas,USA,26.00
Ryan Palmer,USA,29.00
Kevin Na,USA,34.00
Phil Mickelson,USA,34.00
Robert Streb,USA,34.00
Webb Simpson,USA,41.00
Matt Jones,AUS,41.00
Marc Leishman,AUS,41.00
Charley Hoffman,USA,41.00
Charles Howell III,USA,41.00
Brendan Steele,USA,41.00
Jason Bohn,USA,41.00
Jason Dufner,USA,41.00
William McGirt,USA,51.00
Billy Horschel,USA,51.00
Daniel Summerhays,USA,51.00
David Lingmerth,SWE,51.00
Francesco Molinari,ITA,51.00
Graham Delaet,CAN,51.00
Luke Donald,ENG,51.00
Russell Henley,USA,51.00
Patrick Reed,USA,10.00
Matt Kuchar,USA,17.00
Zach Johnson,USA,19.00
Bill Haas,USA,26.00
Ryan Palmer,USA,29.00
Kevin Na,USA,34.00
Phil Mickelson,USA,34.00
Robert Streb,USA,34.00
Webb Simpson,USA,41.00
Brendan Steele,USA,41.00
Charles Howell III,USA,41.00
Jason Bohn,USA,41.00
Jason Dufner,USA,41.00
Marc Leishman,AUS,41.00
Matt Jones,AUS,41.00
Charley Hoffman,USA,41.00
Graham Delaet,CAN,51.00
Francesco Molinari,ITA,51.00
David Lingmerth,SWE,51.00
Daniel Summerhays,USA,51.00
Billy Horschel,USA,51.00
Tony Finau,USA,51.00
Luke Donald,ENG,51.00
Russell Henley,USA,51.00
William McGirt,USA,51.00
Zac Blair,USA,51.00
Scott Brown,USA,67.00
Anirban Lahiri,IND,67.00
Cameron Tringale,USA,67.00
Harold Varner III,USA,67.00
Kevin Chappell,USA,67.00
Tim Clark,RSA,81.00
Smylie Kaufman,USA,81.00
Fredrik Jacobson,SWE,81.00
Jamie Lovemark,USA,81.00
Jason Kokrak,USA,81.00
Jerry Kelly,USA,81.00
Nick Watney,USA,81.00
Ollie Schniederjans,USA,81.00
Patton Kizzire,USA,81.00
Si-Woo Kim,KOR,81.00
Brian Harman,USA,81.00
Will Wilcox,USA,81.00
Martin Laird,SCO,101.00
Steve Stricker,USA,101.00
Sean O&#39;Hair,USA,101.00
Peter Malnati,MEX,101.00
Kevin Streelman,USA,101.00
Johnson Wagner,USA,101.00
John Senden,AUS,101.00
Jhonattan Vegas,VEN,101.00
Hudson Swafford,USA,101.00
Brendon DeJonge,ZIM,101.00
Boo Weekley,USA,101.00
Lucas Glover,USA,126.00
Jeff Overton,USA,126.00
Geoff Ogilvy,AUS,126.00
David Hearn,Can,126.00
Pat Perez,USA,126.00
Robert Garrigus,USA,151.00
Chez Reavie,USA,151.00
Rory Sabbatini,RSA,151.00
Kyle Stanley,USA,151.00
Jim Herman,USA,151.00
Scott Stallings,USA,151.00
Seung-Yul Noh,KOR,151.00
Shawn Stefani,USA,151.00
Spencer Levin,USA,151.00
Justin Leonard,USA,151.00
Stewart Cink,USA,151.00
George McNeill,USA,151.00
Chad Campbell,USA,151.00
Camilo Villegas,COL,151.00
Bryce Molder,USA,151.00
Brendon Todd,USA,151.00
Alex Cejka,GER,151.00
Greg Owen,ENG,151.00
John Huh,USA,151.00
Kyle Reifers,USA,201.00
Ben Martin,USA,201.00
Carl Pettersson,SWE,201.00
Chris Stroud,USA,201.00
Roberto Castro,USA,201.00
Colt Knost,USA,201.00
Ricky Barnes,USA,201.00
Michael H. Thompson,USA,201.00
Jon Curran,USA,201.00
Ben Crane,USA,201.00
Ahmet Patterson,ENG,1.22
Ryan Aston,ENG,4.50
Ryan Walsh,ENG,1.28
Darren Traynor,SCO,3.90
Joseph Parker,NZL,1.01
Jason Bergman,USA,17.00
Danny Garcia,USA,1.13
Robert Guerrero,USA,6.00
Sammy Vasquez,USA,1.25
Aaron Martinez,MEX,4.25
Dominic Breazeale,USA,1.62
Amir Mansour,USA,2.35
Tommy Martin,ENG,1.53
John Wayne Hibbert,ENG,2.62
John Ryder,ENG,1.44
Sergey Khomitsky,UKR,2.86
George Groves,ENG,1.01
Andrea Di Luisa,ITA,17.00
Sergey Kovalev,RUS,1.05
Jean Pascal,CAN,10.00
Terry Flanagan,ENG,1.18
Derry Mathews,ENG,5.00
Fedor Chudinov,RUS,1.44
Felix Sturm,GER,3.00
Marco Huck,GER,1.53
Ola Afolabi,ENG,2.63
Carl Frampton,NIR,1.65
Scott Quigg,ENG,2.30
Felix Verdejo,PUR,1.02
William Silva,BRA,13.00
Terence Crawford,USA,1.04
Henry Lundy,USA,11.00
Ruslan Chagaev,UZB,1.22
Lucas Browne,AUS,4.33
Sam Eggington,ENG,1.72
Bradley Skeete,ENG,2.20
Kell Brook,ENG,1.02
Kevin Bizier,CAN,13.00
Jose Pedraza,PUR,1.53
Stephen Smith,ENG,2.63
Anthony Joshua,ENG,1.07
Dereck Chisora,ENG,7.50
Manny Pacquiao,PHI,1.36
Timothy Bradley,USA,3.30
Cameron McEvoy,AUS,1.55
Vladimir Morozov,RUS,2.30
Federico Grabich,ARG,1.80
Santo Condorelli,CAN,1.90
Sarah Sjostrom,SWE,1.10
Jeanette Ottesen,DEN,6.00
Jeanette Ottesen,DEN,1.25
Emma McKeon,AUS,3.55
Lauren Boyle,NZL,1.45
Jazmin Carlin,GBR,2.55
Katie Ledecky,USA,1.07
Lauren Boyle,NZL,7.00
Kanako Watanabe,JPN,1.25
Melanie Margalis,USA,3.55
Katinka Hosszu,HUN,1.15
Kanako Watanabe,JPN,4.75
Missy Franklin,USA,1.55
Mie Nielsen,DEN,2.30
Emily Seebohm,AUS,1.60
Missy Franklin,USA,2.20
Missy Franklin,USA,1.40
Katinka Hosszu,HUN,2.70
Emily Seebohm,AUS,1.25
Katinka Hosszu,HUN,3.55
Jessica Ashwood,AUS,1.25
Boglarka Kapas,HUN,3.55
Katie Ledecky,USA,1.20
Katie Ledecky,USA,1.13
Katinka Hosszu,HUN,5.00
Federica Pellegrini,ITA,1.15
Veronica Popova,RUS,4.75
Micah Lawrence,USA,1.55
Rikke Moller Pedersen,DEN,2.30
Kanako Watanabe,JPN,1.40
Micah Lawrence,USA,2.70
Sarah Sjostrom,SWE,1.72
Cate Campbell,AUS,2.00
Sarah Sjostrom,SWE,1.50
Ranomi Kromowidjojo,NED,2.40
Katinka Hosszu,HUN,1.20
Maya DiRado,USA,4.00
Emily Overholt,CAN,1.30
Barbora Zavadova,CZE,3.20
Ranomi Kromowidjojo,NED,1.65
Sarah Sjostrom,SWE,2.10
Sarah Sjostrom,SWE,1.15
Francesca Halsall,GBR,4.75
Yuliya Efimova,RUS,1.33
Alia Atkinson,JAM,3.00
Kanako Watanabe,JPN,1.40
Jennie Johansson,SWE,2.70
Yang Sun,CHN,1.55
James Guy,GBR,2.30
James Guy,GBR,1.25
Peter Bernek,HUN,3.55
Florent Manaudou,FRA,1.15
Bruno Fratus,BRA,4.75
Nathan Adrian,USA,1.50
Vladimir Morozov,RUS,2.40
Ryan Lochte,USA,1.25
Thiago Pereira,BRA,3.55
Michael Phelps,USA,1.40
Kosuke Hagino,JPN,2.70
Chad Le Clos,RSA,1.95
Laszlo Cseh,HUN,1.75
Michael Phelps,USA,1.75
Chad Le Clos,RSA,1.95
Daniel Gyurta,HUN,1.33
Andrew Willis,GBR,3.00
Marco Koch,GER,1.40
Kevin Cordes,USA,2.70
Cameron Van Der Burgh,RSA,1.25
Ross Murdoch,GBR,3.55
Adam Peaty,GBR,1.33
Cameron Van Der Burgh,RSA,3.00
Gregorio Paltrinieri,ITA,1.20
Connor Jaeger,USA,4.00
Yang Sun,CHN,1.55
Gregorio Paltrinieri,ITA,2.30
James Guy,GBR,1.65
Yang Sun,CHN,2.10
James Guy,GBR,1.30
Ryan Lochte,USA,3.20
Radoslaw Kawecki,POL,1.40
Evgeny Rylov,RUS,2.70
Mitchell Larkin,AUS,1.10
Evgeny Rylov,RUS,3.00
Mitchell Larkin,AUS,1.13
Matt Grevers,USA,5.00
Mitchell Larkin,AUS,1.20
Camille Lacourt,FRA,4.00
Daiya Seto,JPN,1.45
Kosuke Hagino,JPN,2.55
David Verraszto,HUN,1.45
Chase Kalisz,USA,2.55
Peter Sagan,SVK,5.50
Alexander Kristoff,NOR,6.00
John Degenkolb,GER,7.00
Fabian Cancellara,SUI,12.00
Michael Matthews,AUS,13.00
Greg Van Avermaet,BEL,17.00
Juan Jose Lobato del Valle,ESP,19.00
Vincenzo Nibali,ITA,21.00
Diego Ulissi,ITA,21.00
Zdenek Stybar,CZE,21.00
Tony Gallopin,FRA,21.00
Michal Kwiatkowski,POL,21.00
Marcel Kittel,GER,21.00
Nacer Bouhanni,FRA,21.00
Simon Gerrans,AUS,21.00
Philippe Gilbert,BEL,34.00
Giacomo Nizzolo,ITA,34.00
Sylvain Chavanel,FRA,34.00
Arnaud Demare,FRA,34.00
Tom Boonen,BEL,34.00
Bauke Mollema,NED,51.00
Romain Bardet,FRA,51.00
Tom Slagter,NED,51.00
Tony Martin,GER,67.00
Rui Alberto Faria da Costa,POR,67.00
Dario Cataldo,ITA,101.00
Filippo Pozzato,ITA,101.00
Matteo Trentin,ITA,101.00
Daniele Bennati,ITA,101.00
Lars Boom,NED,101.00
Peter Sagan,SVK,4.00
Alexander Kristoff,NOR,5.00
Fabian Cancellara,SUI,5.00
Greg Van Avermaet,BEL,7.00
Zdenek Stybar,CZE,10.00
Sep Vanmarcke,BEL,11.00
Niki Terpstra,NED,11.00
John Degenkolb,GER,15.00
Jurgen Roelandts,BEL,34.00
Edward Theuns,BEL,34.00
Tony Gallopin,FRA,34.00
Bjorn Leukemans,BEL,51.00
Edvald Boasson Hagen,NOR,51.00
Lars Boom,NED,51.00
Daniel Oss,ITA,51.00
Sylvain Chavanel,FRA,51.00
Oscar Gatto,ITA,51.00
Jasper Stuyven,BEL,67.00
Borut Bozic,SLO,101.00
Gerard Ciolek,GER,101.00
Jelle Wallays,BEL,101.00
Heinrich Haussler,AUS,101.00
