dogodek,kvota,drzava,sportnik
"Championship League

        - World",1.75,SCO,Stephen Maguire
"Super Welterweight title fight

        - World",1.22,ENG,Ahmet Patterson
"Heavyweight

        - World",1.01,NZL,Joseph Parker
"Heavyweight

        - World",1.62,USA,Dominic Breazeale
"Middleweight

        - World",1.44,ENG,John Ryder
"Light Heavyweight

        - World",1.05,RUS,Sergey Kovalev
"Super-Middleweight

        - World",1.44,RUS,Fedor Chudinov
"Super-bantamweight

        - World",1.65,NIR,Carl Frampton
"Super Lightweight

        - World",1.04,USA,Terence Crawford
"Welterweight

        - World",1.72,ENG,Sam Eggington
"Super-featherweight

        - World",1.53,PUR,Jose Pedraza
"Welterweight

        - World",1.36,PHI,Manny Pacquiao
